"a1","d","item"
0.924683157189656,0.318190460434269,"gę.gę"
0.618973292123358,1.52396038384093,"brrum.brrum"
2.84617560970916,-0.167188523548536,"kiełbasa"
3.09970544482337,-0.914952730895351,"kotlet"
2.83958808072342,-0.839754164543279,"kurczak"
2.67391922337697,0.506983665871555,"lizak"
2.81812418599009,0.897870470739978,"lody"
3.33965551120539,-0.41531911524513,"makaron.kluski"
2.44000311692661,-1.80246336198284,"mandarynka"
3.65030636309005,-0.315710859692081,"marchewka"
3.30098371061416,-0.766672684027283,"masło.margaryna"
3.13735929960003,0.0106169888791945,"mięso"
1.18665478207356,0.659993000528294,"tik.tak"
2.4741531570894,-1.70461452362035,"miód"
2.84359965327078,1.62406431030832,"mleko"
2.91448040509641,-1.38127976479509,"naleśniki"
3.14335209809458,-2.32720643341852,"orzechy"
3.0544344369049,-0.11175454468221,"ogórek"
3.0553037721146,-0.333004598939404,"paluszki"
3.12630623247503,0.278519587899716,"parówka.kiełbaska"
1.97310825346192,1.77485763126415,"picie"
2.58164898123407,-1.5952057548647,"pierogi"
2.71440643533502,-1.61208782833232,"placek"
0.855633287225266,0.759177856054304,"tralala.lalala"
2.99459605814549,-1.87635215351595,"pomarańcza"
3.34210583742323,-0.171061909308125,"pomidor"
2.4344771551483,-2.58037297859086,"rodzynki"
2.92313879764772,-0.745479773592113,"rosół"
2.57390218485516,0.488151530891039,"ryba_pokarmy"
2.72260053766966,-1.17045746517434,"ryż"
2.99663564589582,0.0701638131973488,"ser"
2.69323928562351,1.15919492683787,"sok"
2.31448309099277,-1.04148965603032,"sos"
2.62032928031397,-1.12094692733637,"sól"
1.80717548978632,-0.388689114626428,"baran"
2.73921262604458,-1.20318985311729,"szynka"
3.30991899140536,-1.07739711100943,"truskawki"
2.64716479830608,-2.35771942680106,"witaminy"
2.55603582705571,1.28004406234656,"woda_pokarmy"
3.36205933856996,-0.407433621404202,"ziemniaki.kartofle"
3.38121374999463,1.53607447021846,"zupa"
2.67664674021629,2.51125147677852,"bajka"
2.86217283431127,1.06441471125248,"balonik"
2.67676092970162,-1.06680849317429,"grabki"
2.47561855504354,-0.661005294053231,"gumka"
2.66869395469651,-0.111933094881342,"biedronka"
3.669150333163,-0.195422121218822,"kartka.papier"
3.55363622520921,1.93196303263367,"klocki"
3.47963766655165,1.18873593202561,"kredki"
3.68454897241398,0.659273654242882,"książka"
1.52347084428306,1.4801450498099,"lalka"
3.53082432078799,-0.344487430773765,"łopatka"
3.88497474897082,-1.49112175014514,"obrazek"
2.57118574055515,-1.20116491912948,"ołówek"
2.63794147073121,2.66428671848477,"piłka"
2.46514876484775,-0.00563045181903291,"pisak.długopis"
2.17307863261505,-0.516175460092976,"bocian"
3.89238672801128,-1.34831864497044,"prezent"
1.52970222496758,0.357556249995938,"smoczek"
3.87465944007,-0.436705183301298,"wiaderko"
3.90900969361978,0.243007588622601,"zabawka"
3.52384409599491,0.0393878196565961,"bluzka"
2.89964385394377,2.74875325015297,"buty"
2.77717718287515,-1.78834983688741,"chustka"
3.45038614037029,2.13940679178632,"czapka"
2.86230898602594,-0.763906253963292,"guzik"
2.97399428531897,-0.672650338069592,"kalosze.gumowce"
1.89519070021296,-0.94349170580281,"foka"
2.86432916927633,-1.61987014739202,"kapelusz"
3.53948703713759,-1.20963650935269,"kieszeń"
